DBN,name,Num of SAT Test Takers,reading,math,writing
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425
12X245,NEW DAY ACADEMY,25,348,344,354
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352
03M479,BEACON HIGH SCHOOL,261,577,575,592
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286
09X276,LEADERSHIP INSTITUTE,30,361,353,367
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376
04M680,"HERITAGE SCHOOL, THE",31,358,351,345
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
75Q811,P.S. Q811,32,429,444,433
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351
12X267,BRONX LATIN,36,408,432,411
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
31R450,CURTIS HIGH SCHOOL,375,437,435,429
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400
08X452,BRONX GUILD,39,369,371,365
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378
31R440,NEW DORP HIGH SCHOOL,391,424,437,416
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423
18K642,URBAN ACTION ACADEMY,40,376,385,374
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368
04M495,PARK EAST HIGH SCHOOL,51,373,379,376
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
02M294,ESSEX STREET ACADEMY,53,394,384,378
17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330
12X251,EXPLORATIONS ACADEMY,57,381,381,360
19K639,BROOKLYN LAB SCHOOL,57,360,385,363
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367
08X408,HERBERT H. LEHMAN YABC,6,402,373,413
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392
02M419,LANDMARK HIGH SCHOOL,62,390,399,381
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
12X684,WINGS ACADEMY,66,378,374,362
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340
08X312,MILLENNIUM ART ACADEMY,67,387,402,375
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370
14K404,ACADEMY FOR YOUNG WRITERS,68,387,357,381
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411
06M457,GEORGE WASHINGTON YABC,7,394,357,346
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377
18K635,OLYMPUS ACADEMY,7,400,370,370
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291
15K464,PARK SLOPE COLLEGIATE,72,379,416,380
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570
02M449,VANGUARD HIGH SCHOOL,72,395,416,388
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356
02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382
